title,price,link,id,review
Passpartout 2: The Lost Artist,$12.49,https://store.steampowered.com/app/1571100/Passpartout_2_The_Lost_Artist/?snr=1_7_7_2300_150_4,1571100,positive
Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,$8.99,https://store.steampowered.com/app/3265700/Vampire_Crawlers_The_Turbo_Wildcard_from_Vampire_Survivors/?snr=1_7_7_2300_150_4,3265700,positive
Three Kingdoms : Alias,$7.19,https://store.steampowered.com/app/4549610/Three_Kingdoms__Alias/?snr=1_7_7_2300_150_4,4549610,positive
Empires of the Undergrowth,$8.99,https://store.steampowered.com/app/463530/Empires_of_the_Undergrowth/?snr=1_7_7_2300_150_4,463530,positive
Darwin's Paradox!,$9.99,https://store.steampowered.com/app/2989180/Darwins_Paradox/?snr=1_7_7_2300_150_4,2989180,positive
DmC: Devil May Cry,$4.49,https://store.steampowered.com/app/220440/DmC_Devil_May_Cry/?snr=1_7_7_2300_150_4,220440,positive
Aliens: Fireteam Elite,$5.99,https://store.steampowered.com/app/1549970/Aliens_Fireteam_Elite/?snr=1_7_7_2300_150_4,1549970,positive
Burgie's Cozy Kitchen,$4.89,https://store.steampowered.com/app/3314340/Burgies_Cozy_Kitchen/?snr=1_7_7_2300_150_4,3314340,positive
Northgard: Definitive Edition,$9.79,https://store.steampowered.com/app/466560/Northgard_Definitive_Edition/?snr=1_7_7_2300_150_4,466560,positive
Assassin's Creed® Revelations,$5.99,https://store.steampowered.com/app/201870/Assassins_Creed_Revelations/?snr=1_7_7_2300_150_4,201870,positive
Ale & Tale Tavern,$5.99,https://store.steampowered.com/app/2683150/Ale__Tale_Tavern/?snr=1_7_7_2300_150_4,2683150,positive
Deadzone: Rogue,$12.49,https://store.steampowered.com/app/3228590/Deadzone_Rogue/?snr=1_7_7_2300_150_4,3228590,positive
House Party,$11.24,https://store.steampowered.com/app/611790/House_Party/?snr=1_7_7_2300_150_4,611790,positive
Farlands,$12.59,https://store.steampowered.com/app/2252680/Farlands/?snr=1_7_7_2300_150_4,2252680,positive
Starbound,$4.49,https://store.steampowered.com/app/211820/Starbound/?snr=1_7_7_2300_150_4,211820,positive
Super Bunny Man,$8.99,https://store.steampowered.com/app/673750/Super_Bunny_Man/?snr=1_7_7_2300_150_4,673750,positive
Dealer's Life 2,$4.49,https://store.steampowered.com/app/1343670/Dealers_Life_2/?snr=1_7_7_2300_150_4,1343670,positive
Hell Clock,$11.99,https://store.steampowered.com/app/1782460/Hell_Clock/?snr=1_7_7_2300_150_4,1782460,positive
Our Brief Eternity,$4.49,https://store.steampowered.com/app/4169820/Our_Brief_Eternity/?snr=1_7_7_2300_150_4,4169820,positive
Max Payne 3,$5.99,https://store.steampowered.com/app/204100/Max_Payne_3/?snr=1_7_7_2300_150_4,204100,positive
Summer Memories,$4.99,https://store.steampowered.com/app/1227890/Summer_Memories/?snr=1_7_7_2300_150_4,1227890,positive
Lightyear Frontier,$14.99,https://store.steampowered.com/app/1677110/Lightyear_Frontier/?snr=1_7_7_2300_150_4,1677110,positive
Lured In,$6.39,https://store.steampowered.com/app/4178020/Lured_In/?snr=1_7_7_2300_150_4,4178020,positive
War of Rights,$22.49,https://store.steampowered.com/app/424030/War_of_Rights/?snr=1_7_7_2300_150_4,424030,positive
CODE VEIN,$7.99,https://store.steampowered.com/app/678960/CODE_VEIN/?snr=1_7_7_2300_150_4,678960,positive
Samson,$16.74,https://store.steampowered.com/app/3634520/Samson/?snr=1_7_7_2300_150_4,3634520,mixed
Space Haven,$14.99,https://store.steampowered.com/app/979110/Space_Haven/?snr=1_7_7_2300_150_5,979110,positive
Taiko no Tatsujin: Rhythm Festival,$24.99,https://store.steampowered.com/app/2288630/Taiko_no_Tatsujin_Rhythm_Festival/?snr=1_7_7_2300_150_5,2288630,positive
9 Kings,$9.99,https://store.steampowered.com/app/2784470/9_Kings/?snr=1_7_7_2300_150_5,2784470,positive
Frostrain 2,$8.79,https://store.steampowered.com/app/3690490/Frostrain_2/?snr=1_7_7_2300_150_5,3690490,positive
Assetto Corsa EVO,$31.99,https://store.steampowered.com/app/3058630/Assetto_Corsa_EVO/?snr=1_7_7_2300_150_5,3058630,mixed
